page,id,x1,y1,x2,y2,P1REF,P2REF,P3REF,P4REF,P5REF
1,0,8609,1196,8912,1388,,,,,
1,1,5178,1207,5462,1393,,,,,
1,2,6944,829,7267,1162,1:18,,,,5:0
1,3,2539,2608,2798,3160,,,,,
1,4,6958,6851,7245,7141,,,,,
1,5,3417,582,3738,904,1:23,,,4:4,5:1
1,6,8673,961,8935,1133,,,,,
1,7,708,5969,930,6190,,,,,5:20
1,8,1648,7138,1901,7401,1:10,,,,
1,9,2479,709,2745,875,,,,,
1,10,1630,362,1926,652,1:8,,,4:5,5:2
1,11,6979,853,7241,1608,,,,,
1,12,5149,964,5424,1132,,,,,
1,13,479,1577,681,1776,1:50,,3:5,,5:10
1,14,6901,711,7177,875,,,,,
1,15,10488,353,10784,664,1:40,,,,5:5
1,16,6808,3681,7061,4432,,,,,
1,17,5152,3837,5497,4111,,,,,
1,18,6935,6857,7253,7193,1:2,,,,
1,19,11390,6081,11706,6379,1:45,,,,
1,20,6728,5904,6914,6226,,,,,
1,21,955,3810,1260,4113,,,,,5:42
1,22,6992,6073,7202,6272,,2:2,,,
1,23,3424,7118,3740,7418,1:5,,,,
1,24,1236,1716,1407,1920,,,,,
1,25,3732,5993,3882,6186,,,,,
1,26,2588,4859,2918,5330,,,,,
1,27,2488,7045,2747,7221,,,,,
1,28,3517,1597,3810,1895,,2:1,,,
1,29,3548,6075,3756,6272,,2:1,,,
1,30,6691,1690,6939,2054,,,,,
1,31,3536,3860,3736,4063,,2:7,,,
1,32,623,1658,941,1958,,,,,5:15
1,33,8143,200,8355,373,,,,,
1,34,7851,195,8056,372,,,,,
1,35,1746,6027,2006,6203,,2:3,,,
1,36,8627,6518,8895,6681,,,,,
1,37,3446,609,3748,1637,,,,,
1,38,1788,4146,2108,4321,,,,,
1,39,1252,2771,1406,3060,,,,,
1,40,10482,7117,10789,7406,1:15,,,,
1,41,6921,7061,7170,7215,,,,,
1,42,8672,6761,8937,6929,,,,,
1,43,8537,3877,8687,4040,,,,,
1,44,1237,5978,1412,6199,,,,,
1,45,436,6087,741,6383,1:19,,3:6,,5:16
1,46,5137,6759,5419,6925,,,,,
1,47,7093,1826,7244,2012,,,,,
1,48,839,3888,992,4132,,,,,
1,49,11229,2557,11493,2840,,,,,5:17
1,50,11381,1507,11719,1839,1:13,,,,
1,51,1079,5014,1242,5269,,,,,
1,52,5189,6521,5444,6679,,,,,
1,53,1383,6118,1698,6491,,,,,
1,54,1083,1541,1251,1732,,,,,
1,55,1080,2764,1240,3020,,,,,
1,56,10438,6084,10638,6265,,2:1,,,
1,57,1085,6178,1245,6357,,,,,
1,58,6975,5949,7115,6089,,,,,
1,59,11142,2134,11284,2354,,,,,
1,60,6938,1595,7258,1899,,2:2,,,
1,61,1710,1669,2045,1936,,2:3,,,
1,62,1707,3802,2056,4069,,2:6,,,
1,63,10479,1231,10677,1593,,,,,
1,64,10461,5819,10646,5970,,2:5,,,
1,65,1255,4975,1407,5267,,,,,
1,66,10984,4332,11140,4592,,,,,
1,67,10467,2617,10647,2806,,2:4,,,
1,68,10995,2703,11149,2937,,,,,
1,69,6406,500,6682,641,,,,,
1,70,1400,1421,1701,1790,,,,,
1,71,3610,1823,3761,1995,,,,,
1,72,559,3469,727,4511,,,,,
1,73,3468,1174,3791,1652,,,,,
1,74,10456,6260,10767,7378,,,,,
1,75,8842,3853,9067,4011,,,,,
1,76,10371,1585,10702,1917,,2:1,,,
1,77,3511,6270,3742,6716,,,,,
1,78,10924,5871,11209,6236,,,,,
page,id,x1,y1,x2,y2,,,,,
2,0,1886,5515,3951,7782,,,,,
2,1,4090,156,6023,2069,1:56/1:76,,,,
2,2,6027,156,7962,2070,1:22/1:60,,,,
2,3,9887,146,11834,2081,1:61,,,,
2,4,2177,166,4066,2059,1:67,,,,
2,5,7961,154,9887,2067,1:64,,,,
2,6,241,2078,2176,4018,1:62,,,,
2,7,247,165,2142,2063,,,,,
page,id,x1,y1,x2,y2,,,,,
3,0,4466,154,8669,3095,,,,,
3,1,8706,1901,10850,3630,,,,,
3,2,8685,132,12955,3626,,,,,
3,3,207,150,4465,4219,,,,,
3,4,207,3458,4434,7340,,,,,
3,5,1210,224,1456,493,1:13/1:50,,,,5:10
3,6,2428,215,2707,498,1:19/1:45,,,,5:16
3,7,11178,247,11354,467,,,,,
3,8,12403,247,12587,461,,,,,
3,9,11487,249,11684,461,,,,,
3,10,12341,417,12498,597,,,,,
3,11,11426,430,11566,592,,,,,
3,12,10811,422,10952,584,,,,,
3,13,8843,1242,9009,1449,,,,,
page,id,x1,y1,x2,y2,,,,,
4,0,8711,141,11816,2341,,,,,
4,1,188,164,4461,3813,,,,,
4,2,4474,163,6127,1423,,,,,
4,3,189,933,4458,4964,,,,,
4,4,2237,225,2449,448,1:5/1:23,,,,5:1
4,5,1474,221,1720,510,1:8/1:10,,,,5:2
4,6,5126,1661,5309,1860,,,,,
4,7,1547,1538,1677,1700,,,,,
4,8,546,2070,695,2237,,,,,
4,9,1001,2265,1162,2441,,,,,
4,10,1970,2272,2127,2442,,,,,
4,11,1273,3601,1429,3766,,,,,
4,12,1271,2269,1431,2443,,,,,
4,13,356,2071,519,2246,,,,,
4,14,6990,791,7148,988,,,,,
4,15,1968,3601,2130,3771,,,,,
4,16,1288,2035,1477,2228,,,,,
4,17,1274,2935,1435,3100,,,,,
4,18,5273,1162,5450,1366,,,,,
4,19,5558,1170,5724,1369,,,,,
4,20,9398,1067,9626,1335,,,,,
4,21,4996,1207,5149,1361,,,,,
4,22,4470,1858,4595,1987,,,,,
4,23,8811,1857,8949,2015,,,,,
4,24,362,2738,519,2908,,,,,
4,25,1971,2928,2139,3098,,,,,
page,id,x1,y1,x2,y2,,,,,
5,0,6550,818,6768,1038,1:2/1:18,,,,5:12
5,1,3222,554,3428,771,1:5/1:23,,,4:4,5:4
5,2,1522,350,1734,557,1:8/1:20,,,4:5,5:6
5,3,5704,3051,5950,3268,,,,,
5,4,3219,7240,3433,7448,,,,,5:1
5,5,9885,348,10086,554,1:15/1:40,,,,5:8
5,6,1519,7238,1729,7447,,,,,5:2
5,7,10843,1558,11056,1769,,,,,5:10
5,8,9886,7244,10087,7442,,,,,5:5
5,9,3331,1124,3505,1300,,,,,
5,10,383,1566,562,1763,1:13/1:50,,3:5,,5:7
5,11,10843,5860,11057,6067,,,,,5:16
5,12,6556,6979,6761,7193,,,,,5:0
5,13,6636,4275,6814,4567,,,,,
5,14,6636,2662,6813,2945,,,,,
5,15,549,1672,742,1857,1:32,,,,
5,16,376,5868,573,6065,1:19/1:45,,3:6,,5:11
5,17,10654,2528,10861,2731,1:49,,,,
5,18,4028,3066,4273,3278,,,,,
5,19,4867,1543,5077,1715,,,,,
5,20,544,5752,739,5959,1:7,,,,
5,21,8215,5921,8398,6080,,,,,
5,22,4882,5925,5070,6080,,,,,
5,23,3335,6701,3497,6871,,,,,
5,24,3344,2667,3515,2945,,,,,
5,25,1993,2602,2182,3026,,,,,
5,26,8211,1546,8410,1714,,,,,
5,27,9929,4353,10095,4641,,,,,
5,28,1242,3516,1481,4106,,,,,
5,29,1502,1407,1674,1743,,,,,
5,30,10571,2062,10720,2272,,,,,
5,31,2728,4275,2911,4463,,,,,
5,32,9803,6496,10053,6896,,,,,
5,33,1517,3475,1664,3818,,,,,
5,34,1507,4770,1658,5035,,,,,
5,35,883,4773,1038,5032,,,,,
5,36,2020,4725,2205,5147,,,,,
5,37,2111,656,2344,804,,,,,
5,38,9917,2747,10092,3013,,,,,
5,39,10570,4202,10719,4468,,,,,
5,40,8272,3924,8434,4077,,,,,
5,41,1521,5519,1660,5873,,,,,
5,42,814,3699,1034,3940,1:21,,,,
5,43,8097,3930,8239,4060,,,,,
5,44,1463,2594,1700,2937,,,,,
5,45,3311,4243,3556,4590,,,,,
5,46,440,3351,602,4391,,,,,
5,47,832,2600,1082,2942,,,,,
5,48,9794,1110,10030,1532,,,,,
5,49,6337,665,6539,797,,,,,
